Sr,Scheme Name,"No. of Schemesas on October 31, 2022","No. of Folios  as on October 31, 2022",Funds Mobilized for the month of October 2022 (INR in crore),Repurchase/ Redemption for the month of October 2022 (INR in crore),"Net Assets Under Management as on October 31, 2022 (INR in crore)",Average Net Assets Under Management for the month October 2022 (INR in crore),"No. of segregated portfolios created as on October 31, 2022","Net Assets Under Management in segregated portfolio as on October 31, 2022 (INR in crore)"
Monthly Report for the month of October 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on October 31, 2022","No. of Folios  as on October 31, 2022",Funds Mobilized for the month of October 2022 (INR in crore),Repurchase/ Redemption for the month of October 2022 (INR in crore),"Net Assets Under Management as on October 31, 2022 (INR in crore)",Average Net Assets Under Management for the month October 2022 (INR in crore),"No. of segregated portfolios created as on October 31, 2022","Net Assets Under Management in segregated portfolio as on October 31, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,33,"6,16,496","4,30,592.20","4,38,097.59","1,34,583.00","1,53,046.83",-,-
ii,Liquid Fund,37,"17,57,482","2,51,881.01","2,32,796.41","3,73,212.25","3,88,186.31",-,-
iii,Ultra Short Duration Fund,26,"6,23,263","12,480.85","13,626.14","88,736.88","91,398.26",-,-
iv,Low Duration Fund,22,"9,80,104","8,231.34","10,891.78","93,462.25","97,692.48",1,-
v,Money Market Fund,22,"4,20,525","17,231.02","19,227.34","1,05,882.56","1,10,195.04",-,-
vi,Short Duration Fund,26,"5,25,948","1,921.30","4,387.38","95,272.33","96,398.44",-,-
vii,Medium Duration Fund,15,"2,57,213",246.43,600.32,"27,959.87","28,059.92",3,-
viii,Medium to Long Duration Fund,12,"1,07,949",57.30,133.79,"8,877.93","8,892.16",-,-
ix,Long Duration Fund,3,"26,248",82.43,16.11,"2,904.70","2,866.93",-,-
x,Dynamic Bond Fund,24,"2,17,337",357.10,365.13,"22,144.97","22,154.68",-,-
xi,Corporate Bond Fund,21,"6,29,312","1,208.26","2,742.04","1,11,714.86","1,12,108.41",-,-
xii,Credit Risk Fund,15,"2,55,956",152.90,560.75,"25,534.67","25,658.96",3,-
xiii,Banking and PSU Fund,23,"3,10,655",439.38,"1,976.92","76,457.01","76,977.02",-,-
xiv,Gilt Fund,22,"1,70,202",279.06,132.76,"15,899.36","15,807.50",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,302",59.71,39.52,"1,521.99","1,509.60",-,-
xvi,Floater Fund,12,"2,46,784","2,281.75","4,725.89","60,637.73","61,455.11",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),318,"71,88,776","7,27,502.06","7,30,319.86","12,44,802.35","12,92,407.67",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,15,"36,76,860","1,596.90",707.64,"65,285.79","63,531.17",-,-
ii,Large Cap Fund,31,"1,28,88,577","2,954.92","2,781.30","2,44,691.07","2,37,747.67",-,-
iii,Large & Mid Cap Fund,27,"74,30,902","2,254.88","1,065.00","1,26,797.18","1,23,663.41",-,-
iv,Mid Cap Fund,28,"98,25,553","3,020.27","1,634.94","1,82,767.48","1,80,140.77",-,-
v,Small Cap Fund,24,"95,03,255","2,759.23","1,177.32","1,26,095.84","1,24,856.65",-,-
vi,Dividend Yield Fund,8,"5,91,282",84.28,112.52,"10,294.35","10,062.75",-,-
vii,Value Fund/Contra Fund,22,"43,49,373","1,146.26",744.85,"88,992.37","86,266.41",-,-
viii,Focused Fund,27,"53,38,157","1,544.51","1,284.64","1,05,641.12","1,03,366.13",-,-
ix,Sectoral/Thematic Funds,123,"1,27,14,127","5,380.36","2,694.03","1,67,805.24","1,61,879.37",-,-
x,ELSS,40,"1,44,29,533","1,509.21","1,123.26","1,55,114.69","1,51,305.47",-,-
xi,Flexi Cap Fund,34,"1,24,86,070","3,253.24","2,788.21","2,48,853.10","2,42,752.40",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),379,"9,32,33,689","25,504.06","16,113.71","15,22,338.25","14,85,572.22",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,17,512",322.82,332.42,"22,585.58","22,441.16",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,66,180","1,847.64","1,601.80","1,58,811.99","1,56,222.57",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,50,929","2,475.49","2,929.19","1,94,577.93","1,93,479.86",-,-
iv,Multi Asset Allocation Fund,9,"8,47,730",332.66,245.96,"21,698.83","22,426.76",-,-
v,Arbitrage Fund,26,"4,83,889","3,210.14","5,680.25","75,883.88","91,024.88",-,-
vi,Equity Savings Fund,22,"3,65,445",321.89,540.42,"17,129.57","17,721.34",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),137,"1,19,31,685","8,510.64","11,330.04","4,90,687.78","5,03,316.57",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,25,635",206.69,91.55,"17,821.19","17,456.88",-,-
ii,Childrens Fund,10,"29,09,230",96.71,39.76,"14,115.98","13,867.43",-,-
,Sub Total - IV (i+ii),36,"56,34,865",303.40,131.31,"31,937.17","31,324.31",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,126,"29,98,216","7,359.45","2,283.76","1,12,603.20","1,08,814.75",-,-
ii,GOLD ETF,11,"46,79,130",349.57,202.18,"19,881.72","19,701.55",-,-
iii,Other ETFs,143,"1,16,68,143","10,641.59","5,796.83","4,82,654.62","4,67,230.28",-,-
iv,Fund of funds investing overseas,48,"12,54,452",505.66,312.59,"19,834.61","19,367.59",-,-
,Sub Total - V (i+ii+iii+iv),328,"2,05,99,941","18,856.27","8,595.36","6,34,974.16","6,15,114.16",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,198","13,85,88,956","7,80,676.45","7,66,490.28","39,24,739.71","39,27,734.93",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,85,"1,00,319",597.80,545.49,"15,249.78","15,209.02",-,-
ii,Capital Protection Oriented Schemes,7,"12,654",-,-,634.06,631.08,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,078.42","2,074.19",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),100,"1,13,053",597.80,545.49,"17,962.26","17,914.29",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,04,578",-,20.30,"3,724.85","3,642.84",-,-
ii,Other Equity Schemes,12,"68,272",-,116.66,"3,281.31","3,280.90",-,-
,Sub Total (i+ii),31,"3,72,850",-,136.96,"7,006.16","6,923.74",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,131,"4,85,903",597.80,682.45,"24,968.42","24,838.03",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,886",1.02,55.56,615.15,635.99,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,886",1.02,55.56,615.15,635.99,-,-
,,,,,,,,,
,Grand Total,"1,341","13,90,77,745","7,81,275.27","7,67,228.29","39,50,323.28","39,53,208.95",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  78,"18,04,872","1,436.77","1,021.27","56,650.33","56,101.15",-,-
