Sr,Scheme Name,"No. of Schemesas on September 30, 2022","No. of Folios as on September 30, 2022",Funds Mobilized for the month of September 2022 (INR in crore),Repurchase/ Redemption for the month of September 2022 (INR in crore),"Net Assets Under Management as on September 30, 2022 (INR in crore)",Average Net Assets Under Management for the month September 2022 (INR in crore),"No. of segregated portfolios created as on September 30, 2022","Net Assets Under Management in segregated portfolio as on September 30, 2022 (INR in crore)"
Monthly Report for the month of September 2022,,,,,,,,,
Sr,Scheme Name,"No. of Schemesas on September 30, 2022","No. of Folios as on September 30, 2022",Funds Mobilized for the month of September 2022 (INR in crore),Repurchase/ Redemption for the month of September 2022 (INR in crore),"Net Assets Under Management as on September 30, 2022 (INR in crore)",Average Net Assets Under Management for the month September 2022 (INR in crore),"No. of segregated portfolios created as on September 30, 2022","Net Assets Under Management in segregated portfolio as on September 30, 2022 (INR in crore)"
A,Open ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Overnight Fund,32,"6,11,525","5,52,502.99","5,19,374.66","1,41,319.78","1,33,564.03",-,-
ii,Liquid Fund,37,"17,53,272","2,99,102.84","3,59,073.14","3,52,213.14","4,19,855.51",-,-
iii,Ultra Short Duration Fund,26,"6,21,847","13,749.01","22,202.81","89,480.74","96,696.22",-,-
iv,Low Duration Fund,22,"9,86,513","7,331.80","14,991.65","95,673.48","1,01,883.13",1,-
v,Money Market Fund,22,"4,20,264","21,219.66","32,451.72","1,07,379.30","1,15,590.11",-,-
vi,Short Duration Fund,26,"5,30,585","3,508.97","4,539.83","97,272.50","99,473.39",-,-
vii,Medium Duration Fund,15,"2,58,984",266.21,935.29,"28,203.83","28,727.49",3,-
viii,Medium to Long Duration Fund,12,"1,08,680",43.51,133.09,"8,926.80","9,029.59",-,-
ix,Long Duration Fund,3,"26,259",154.49,43.73,"2,828.43","2,772.25",-,-
x,Dynamic Bond Fund,24,"2,18,018",355.05,"1,108.43","22,083.90","22,614.04",-,-
xi,Corporate Bond Fund,21,"6,32,920",884.83,"3,810.59","1,12,782.60","1,14,265.58",-,-
xii,Credit Risk Fund,15,"2,58,089",158.98,650.95,"25,821.13","26,106.29",3,-
xiii,Banking and PSU Fund,23,"3,14,405",801.10,"5,026.15","77,677.77","80,401.09",-,-
xiv,Gilt Fund,22,"1,71,195",338.07,331.42,"15,700.26","15,731.52",-,-
xv,Gilt Fund with 10 year constant duration,5,"43,862",67.52,66.32,"1,498.84","1,520.00",-,-
xvi,Floater Fund,12,"2,48,588","3,298.09","4,415.74","62,811.57","64,005.65",-,-
,Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),317,"72,05,006","9,03,783.12","9,69,155.52","12,41,674.09","13,32,235.88",7,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,Multi Cap Fund,14,"35,98,855","1,679.53",954.82,"62,435.41","63,079.86",-,-
ii,Large Cap Fund,31,"1,28,73,410","3,491.52","3,217.34","2,33,619.48","2,38,986.66",-,-
iii,Large & Mid Cap Fund,27,"73,60,105","3,100.40","1,631.58","1,21,761.61","1,23,515.65",-,-
iv,Mid Cap Fund,28,"96,72,659","4,398.42","2,247.27","1,78,867.43","1,81,018.53",-,-
v,Small Cap Fund,24,"92,47,406","3,571.19","1,745.71","1,23,153.93","1,23,672.99",-,-
vi,Dividend Yield Fund,8,"5,90,901",165.52,123.66,"9,910.09","10,097.88",-,-
vii,Value Fund/Contra Fund,22,"43,09,767","1,426.12",906.93,"84,511.49","85,867.65",-,-
viii,Focused Fund,27,"53,28,712","1,978.21","1,780.25","1,02,208.64","1,04,212.35",-,-
ix,Sectoral/Thematic Funds,121,"1,26,25,526","8,194.69","3,776.07","1,59,075.50","1,58,772.10",-,-
x,ELSS,39,"1,43,70,815","1,596.31","1,519.75","1,49,371.14","1,52,953.08",-,-
xi,Flexi Cap Fund,34,"1,24,43,255","5,995.47","3,594.27","2,38,885.44","2,44,057.98",-,-
,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),375,"9,24,21,411","35,597.37","21,497.64","14,63,800.17","14,86,234.75",-,-
,,,,,,,,,
III,Hybrid Schemes,,,,,,,,
i,Conservative Hybrid Fund,21,"5,17,464",533.41,403.23,"22,323.94","22,403.46",1,-
ii,Balanced Hybrid Fund/Aggressive Hybrid Fund,32,"52,49,546","2,811.72","2,051.28","1,54,007.53","1,56,531.42",2,9.33
iii,Dynamic Asset Allocation/Balanced Advantage Fund,27,"44,53,840","4,251.69","3,726.99","1,89,849.22","1,94,139.09",-,-
iv,Multi Asset Allocation Fund,9,"8,43,516",513.95,391.33,"20,839.69","22,241.21",-,-
v,Arbitrage Fund,26,"4,88,524","3,678.67","7,701.45","77,689.88","93,556.04",-,-
vi,Equity Savings Fund,22,"3,66,524",572.26,775.39,"17,037.94","17,895.40",2,25.81
,Sub Total - III (i+ii+iii+iv+v+vi),137,"1,19,19,414","12,361.70","15,049.67","4,81,748.21","5,06,766.61",5,35.14
,,,,,,,,,
IV,Solution Oriented Schemes,,,,,,,,
i,Retirement Fund,26,"27,19,117",275.37,122.31,"17,271.05","17,457.13",-,-
ii,Childrens Fund,10,"29,06,735",106.76,46.47,"13,752.04","13,897.07",-,-
,Sub Total - IV (i+ii),36,"56,25,852",382.13,168.77,"31,023.09","31,354.20",-,-
,,,,,,,,,
V,Other Schemes,,,,,,,,
i,Index Funds,105,"29,08,897","8,397.19","6,079.99","1,04,993.95","1,05,686.79",-,-
ii,GOLD ETF,11,"46,45,081",425.79,95.55,"19,861.30","19,429.14",-,-
iii,Other ETFs,141,"1,16,05,124","15,264.57","4,456.97","4,54,854.85","4,59,572.95",-,-
iv,Fund of funds investing overseas,48,"12,56,035",646.44,478.13,"18,945.00","19,861.25",-,-
,Sub Total - V (i+ii+iii+iv),305,"2,04,15,137","24,733.98","11,110.64","5,98,655.10","6,04,550.13",-,-
,,,,,,,,,
,Total A-Open ended Schemes,"1,170","13,75,86,820","9,76,858.30","10,16,982.25","38,16,900.66","39,61,141.58",12,35.14
,,,,,,,,,
B,Close Ended Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,,,,,,,,
i,Fixed Term Plan,87,"1,05,513","1,116.78","2,072.66","15,134.40","16,328.80",-,-
ii,Capital Protection Oriented Schemes,7,"12,653",-,154.85,630.05,689.10,-,-
iii,Infrastructure Debt Fund,8,80,-,-,"2,067.71","2,062.67",-,-
iv,Other Debt Scheme,-,-,-,-,-,-,-,-
,Sub Total (i+ii+iii+iv),102,"1,18,246","1,116.78","2,227.51","17,832.16","19,080.57",-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,,,,,,,,
i,ELSS,19,"3,05,619",-,22.66,"3,611.14","3,679.55",-,-
ii,Other Equity Schemes,13,"73,741",-,-,"3,331.38","3,376.45",-,-
,Sub Total (i+ii),32,"3,79,360",-,22.66,"6,942.52","7,056.00",-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total B -Close ended Schemes,134,"4,97,606","1,116.78","2,250.17","24,774.68","26,136.57",-,-
,,,,,,,,,
C,Interval Schemes,,,,,,,,
I,Income/Debt Oriented Schemes,12,"2,902",3.01,149.97,675.40,712.12,-,-
,,,,,,,,,
II,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
III,Other Schemes,-,-,-,-,-,-,-,-
,,,,,,,,,
,Total C Interval Schemes,12,"2,902",3.01,149.97,675.40,712.12,-,-
,,,,,,,,,
,Grand Total,"1,316","13,80,87,328","9,77,978.09","10,19,382.39","38,42,350.73","39,87,990.26",12,35.14
,,,,,,,,,
,Fund of Funds Scheme (Domestic) **,##  74,"17,84,391","1,894.07","1,173.06","55,420.06","55,477.68",-,-
